# LAMMPS data file written by OVITO Basic 3.7.5
4850 atoms
4 atom types
0.0 52.686 xlo xhi
0.0 52.686 ylo yhi
0.0 52.686 zlo zhi
0 0 0 xy xz yz

Masses

1 63.546  # Cu
2 1.00794  # H
3 12.0107  # C
4 15.9994  # O

Atoms  # charge

446 2 0.0 29.4988914 3.1558914 19.177704
447 2 0.0 42.6703914 16.3273914 19.177704
448 2 0.0 29.4988914 10.0156086 20.336796
449 2 0.0 29.4988914 23.1871086 7.165296
450 2 0.0 42.6703914 23.1871086 20.336796
451 2 0.0 32.349204 23.1871086 10.0156086
452 2 0.0 45.520704 23.1871086 23.1871086
453 2 0.0 46.679796 23.1871086 16.3273914
454 2 0.0 33.508296 23.1871086 3.1558914
455 2 0.0 32.349204 3.1558914 16.3273914
456 2 0.0 45.520704 3.1558914 3.1558914
457 2 0.0 45.520704 16.3273914 16.3273914
458 2 0.0 46.679796 3.1558914 10.0156086
459 2 0.0 46.679796 16.3273914 23.1871086
460 2 0.0 33.508296 3.1558914 23.1871086
461 2 0.0 32.349204 10.0156086 3.1558914
462 2 0.0 32.349204 23.1871086 16.3273914
463 2 0.0 45.520704 10.0156086 16.3273914
464 2 0.0 46.679796 16.3273914 3.1558914
465 2 0.0 33.508296 16.3273914 16.3273914
466 2 0.0 32.349204 16.3273914 23.1871086
467 2 0.0 45.520704 16.3273914 10.0156086
468 2 0.0 46.679796 10.0156086 23.1871086
469 2 0.0 33.508296 10.0156086 10.0156086
470 2 0.0 33.508296 23.1871086 23.1871086
471 2 0.0 36.3586086 23.1871086 20.336796
472 2 0.0 36.3586086 10.0156086 7.165296
473 2 0.0 49.5301086 23.1871086 7.165296
474 2 0.0 42.6703914 23.1871086 6.006204
475 2 0.0 42.6703914 10.0156086 19.177704
476 2 0.0 42.6703914 3.1558914 20.336796
477 2 0.0 42.6703914 16.3273914 7.165296
478 2 0.0 36.3586086 3.1558914 6.006204
479 2 0.0 36.3586086 16.3273914 19.177704
480 2 0.0 49.5301086 16.3273914 6.006204
481 2 0.0 49.5301086 6.006204 16.3273914
482 2 0.0 49.5301086 19.177704 3.1558914
483 2 0.0 49.5301086 20.336796 10.0156086
484 2 0.0 49.5301086 7.165296 23.1871086
485 2 0.0 29.4988914 6.006204 10.0156086
486 2 0.0 29.4988914 19.177704 23.1871086
487 2 0.0 42.6703914 6.006204 23.1871086
488 2 0.0 29.4988914 20.336796 16.3273914
489 2 0.0 29.4988914 7.165296 3.1558914
490 2 0.0 42.6703914 7.165296 16.3273914
491 2 0.0 42.6703914 20.336796 3.1558914
